"value","word"
"0.005847953216374269","01"
"0.011046133853151396","02"
"0.001949317738791423","03"
"0.009746588693957114","04"
"0.007147498375568551","05"
"0.01364522417153996","06"
"0.003898635477582846","07"
"0.004548408057179987","08"
"0.005847953216374269","09"
"0.02079272254710851","10"
"0.017543859649122806","11"
"0.003248862897985705","111"
"0.012345679012345678","12"
"0.001949317738791423","121"
"0.011046133853151396","13"
"0.001949317738791423","133"
"0.016244314489928524","14"
"0.002599090318388564","144"
"0.008447043534762833","15"
"0.001949317738791423","158"
"0.001949317738791423","159"
"0.007797270955165692","16"
"0.003898635477582846","167"
"0.005198180636777128","17"
"0.001949317738791423","172"
"0.001949317738791423","1789"
"0.002599090318388564","18"
"0.001949317738791423","19"
"0.001949317738791423","1965"
"0.001949317738791423","1976"
"0.002599090318388564","1977"
"0.003898635477582846","1981"
"0.001949317738791423","1985"
"0.003898635477582846","1988"
"0.002599090318388564","1989"
"0.002599090318388564","1992"
"0.005847953216374269","1993"
"0.004548408057179987","1994"
"0.001949317738791423","1995"
"0.007147498375568551","1996"
"0.002599090318388564","1997"
"0.010396361273554255","1998"
"0.003248862897985705","1999"
"0.005847953216374269","20"
"0.021442495126705652","2000"
"0.011695906432748537","2001"
"0.009746588693957114","2002"
"0.01364522417153996","2003"
"0.023391812865497075","2004"
"0.022742040285899934","2005"
"0.02664067576348278","2006"
"0.03378817413905133","2007"
"0.02664067576348278","2008"
"0.04808317089018843","2009"
"0.02599090318388564","2010"
"0.03508771929824561","2011"
"0.04158544509421702","2012"
"0.03898635477582846","2013"
"0.05263157894736842","2014"
"0.018843404808317088","2015"
"0.015594541910331383","2016"
"0.001949317738791423","21"
"0.001949317738791423","22"
"0.002599090318388564","23"
"0.001949317738791423","230"
"0.001949317738791423","24"
"0.005198180636777128","25"
"0.001949317738791423","256"
"0.001949317738791423","257"
"0.004548408057179987","27"
"0.004548408057179987","29"
"0.004548408057179987","30"
"0.001949317738791423","31"
"0.003898635477582846","33"
"0.001949317738791423","344"
"0.003248862897985705","37"
"0.001949317738791423","44"
"0.003898635477582846","47"
"0.002599090318388564","48"
"0.002599090318388564","49"
"0.001949317738791423","51"
"0.001949317738791423","52"
"0.001949317738791423","58"
"0.002599090318388564","62"
"0.001949317738791423","703"
"0.014294996751137101","776"
"0.002599090318388564","82"
"0.003248862897985705","90"
"0.002599090318388564","ab"
"0.002599090318388564","aber"
"0.001949317738791423","abschnitt"
"0.003898635477582846","acad"
"0.002599090318388564","acceleration"
"0.004548408057179987","act"
"0.002599090318388564","action"
"0.002599090318388564","adults"
"0.001949317738791423","affect"
"0.002599090318388564","aggressive"
"0.003898635477582846","aktuell"
"0.06887589343729694","al"
"0.001949317738791423","alexander"
"0.001949317738791423","algorithm"
"0.002599090318388564","allan"
"0.003248862897985705","alle"
"0.014294996751137101","als"
"0.004548408057179987","america"
"0.005847953216374269","american"
"0.003898635477582846","analyse"
"0.003248862897985705","analysis"
"0.002599090318388564","anderson"
"0.002599090318388564","anfang"
"0.001949317738791423","angelika"
"0.002599090318388564","anhang"
"0.001949317738791423","anja"
"0.002599090318388564","anleitung"
"0.001949317738791423","anstalt"
"0.001949317738791423","ansätze"
"0.003898635477582846","approach"
"0.002599090318388564","arbeit"
"0.001949317738791423","arbeiten"
"0.005847953216374269","arbeitstechniken"
"0.003898635477582846","art"
"0.003898635477582846","article"
"0.002599090318388564","articoli"
