filename;class;prediction;proba
001985e18df57100825deecb483948d3-1.jpg;0;0;0.11337869
005dfc1c17ead60647316996758657cb-1.jpg;0;0;0.20501871
0081c41107abe86cb2ce026dbf967a8a-1.jpg;0;0;0.18104734
0081c41107abe86cb2ce026dbf967a8a-2.jpg;0;0;0.0727887
0088e08edda00d1cf05f2ea1091fb42b-1.jpg;0;0;0.10016012
008bd1a8b44ff03dc160552cf0514a92-1.jpg;0;0;0.0003447
008bd1a8b44ff03dc160552cf0514a92-2.jpg;0;0; 8.65731708e-05
008bd1a8b44ff03dc160552cf0514a92-3.jpg;0;0;0.00047454
008bd1a8b44ff03dc160552cf0514a92-4.jpg;0;0;0.00227543
008bd1a8b44ff03dc160552cf0514a92-5.jpg;0;0;0.00113293
00a1e2413c919d6e392442533626cb92-1.jpg;0;1;0.85174662
00a672d87a8e000d5cbd7469a0b9abd5-1.jpg;0;0;0.00912512
00a672d87a8e000d5cbd7469a0b9abd5-2.jpg;0;0;0.05173174
00c7d620231037be8fb047ed783ed487-1.jpg;0;0;0.01592944
00c7d620231037be8fb047ed783ed487-2.jpg;0;0;0.00018661
00c7d620231037be8fb047ed783ed487-3.jpg;0;0;0.04267076
00c7d620231037be8fb047ed783ed487-4.jpg;0;0;0.00689469
00c7d620231037be8fb047ed783ed487-5.jpg;0;0; 6.62468810e-05
00d672e687664a610dfbacde9741e89a-1.jpg;0;0;0.02420431
00d672e687664a610dfbacde9741e89a-2.jpg;0;0;0.23789959
00ee358ffd17e3d46d0c2cf4068b98c2-1.jpg;0;0;0.00026687
00ee358ffd17e3d46d0c2cf4068b98c2-2.jpg;0;0;0.00197687
00ee358ffd17e3d46d0c2cf4068b98c2-3.jpg;0;0;0.01041654
00ee358ffd17e3d46d0c2cf4068b98c2-4.jpg;0;0;0.00169348
00ee358ffd17e3d46d0c2cf4068b98c2-5.jpg;0;0;0.00105535
0112efa13090e82179b9abd0d21baac0-1.jpg;0;0;0.002753
0112efa13090e82179b9abd0d21baac0-2.jpg;0;0;0.00269071
0112efa13090e82179b9abd0d21baac0-3.jpg;0;0;0.00013961
0112efa13090e82179b9abd0d21baac0-4.jpg;0;0; 8.73311947e-05
0112efa13090e82179b9abd0d21baac0-5.jpg;0;0; 1.52095372e-05
013974027580241c9316f2a19352ef76-1.jpg;0;0;0.006413
013974027580241c9316f2a19352ef76-2.jpg;0;0; 5.68725918e-05
013974027580241c9316f2a19352ef76-3.jpg;0;0; 6.57747660e-05
013974027580241c9316f2a19352ef76-4.jpg;0;0;0.00033717
013974027580241c9316f2a19352ef76-5.jpg;0;0; 7.97106259e-05
01507cdd3a0dcaf3a2b8f41e61f67407-1.jpg;0;0;0.02812774
0156a72c496104dbd489d1d33d40b4d5-1.jpg;0;0;0.01876332
0156a72c496104dbd489d1d33d40b4d5-2.jpg;0;0;0.2113023
01628a243b61ec0f067b62a8f7ac2f00-1.jpg;0;0;0.02273065
01628a243b61ec0f067b62a8f7ac2f00-2.jpg;0;0;0.01473274
01628a243b61ec0f067b62a8f7ac2f00-3.jpg;0;0;0.05003542
01628a243b61ec0f067b62a8f7ac2f00-4.jpg;0;0;0.00225206
01628a243b61ec0f067b62a8f7ac2f00-5.jpg;0;0;0.00956224
